dep_delay;arr_delay;cancelled;cancellation_code;id
25;17;0;"";229450
32;18;0;"";229451
14;23;0;"";229452
8;16;0;"";201317
134;116;0;"";201282
22;43;0;"";229455
20;24;0;"";201283
167;170;0;"";201284
-3;29;0;"";229456
33;42;0;"";229497
110;98;0;"";143888
11;17;0;"";201386
22;44;0;"";229457
43;33;0;"";201285
57;62;0;"";257550
73;59;0;"";201319
12;36;0;"";201290
143;148;0;"";257522
140;128;0;"";229459
11;33;0;"";229460
37;18;0;"";257524
39;40;0;"";257543
77;62;0;"";257527
197;191;0;"";229461
76;74;0;"";201322
34;32;0;"";201325
36;28;0;"";257529
1;16;0;"";229464
68;57;0;"";143889
37;23;0;"";201326
29;18;0;"";173272
94;85;0;"";143540
250;266;0;"";257533
45;28;0;"";229468
81;63;0;"";173274
96;87;0;"";229469
9;21;0;"";172243
177;165;0;"";148775
17;16;0;"";229471
72;65;0;"";201329
-6;17;0;"";173275
19;15;0;"";257534
0;-14;0;"";173337
9;22;0;"";257535
2;19;0;"";201330
23;17;0;"";257546
-1;22;0;"";229472
-6;20;0;"";201387
39;22;0;"";173277
104;91;0;"";257536
22;35;0;"";173278
167;157;0;"";173279
13;19;0;"";257537
47;39;0;"";229476
28;22;0;"";173339
26;20;0;"";154800
18;34;0;"";173281
216;210;0;"";173282
31;29;0;"";201333
-2;21;0;"";173283
58;64;0;"";201334
-7;16;0;"";257551
19;22;0;"";201388
48;41;0;"";201337
133;127;0;"";257538
54;41;0;"";173287
61;65;0;"";173340
126;122;0;"";201338
3;17;0;"";257540
146;151;0;"";173288
22;21;0;"";201340
83;77;0;"";257552
4;19;0;"";257553
-3;39;0;"";257554
87;87;0;"";144281
3;29;0;"";229482
0;16;0;"";201343
73;67;0;"";257556
-1;31;0;"";201345
34;33;0;"";201389
65;70;0;"";257620
95;93;0;"";201347
36;26;0;"";201349
70;71;0;"";173290
118;127;0;"";201350
125;145;0;"";257557
109;98;0;"";257558
62;23;0;"";143891
59;87;0;"";173292
38;71;0;"";173293
182;210;0;"";257555
126;124;0;"";257619
25;16;0;"";201390
46;49;0;"";257562
33;28;0;"";173296
29;19;0;"";171874
209;186;0;"";173297
57;56;0;"";201355
-8;-23;0;"";257565
1222;1263;0;"";229486
-5;19;0;"";173342
6;16;0;"";229487
61;54;0;"";201356
1;15;0;"";257568
67;60;0;"";173299
52;63;0;"";257625
163;145;0;"";173300
-1;20;0;"";257626
134;134;0;"";201358
23;19;0;"";257572
117;110;0;"";172238
38;76;0;"";201359
10;15;0;"";257573
28;35;0;"";257574
132;121;0;"";201361
79;80;0;"";201363
144;134;0;"";148929
31;25;0;"";173302
37;26;0;"";172240
29;22;0;"";229491
108;116;0;"";201365
21;32;0;"";257577
30;35;0;"";201366
67;57;0;"";173304
78;66;0;"";257580
45;42;0;"";143892
15;15;0;"";173306
25;19;0;"";229492
31;38;0;"";229493
-3;16;0;"";257581
42;37;0;"";173307
26;22;0;"";144647
5;19;0;"";173308
33;28;0;"";229495
-4;4;0;"";154803
58;62;0;"";173273
-9;18;0;"";201369
25;27;0;"";171875
50;41;0;"";229503
34;64;0;"";229504
4;47;0;"";229570
22;43;0;"";201370
194;188;0;"";229505
142;159;0;"";201371
27;20;0;"";229571
169;163;0;"";173310
88;80;0;"";201372
92;79;0;"";173311
53;53;0;"";144282
136;130;0;"";201374
-2;21;0;"";201375
-1;39;0;"";173313
-4;18;0;"";173343
9;19;0;"";257586
46;38;0;"";257587
6;15;0;"";173314
-6;21;0;"";229572
39;42;0;"";173315
40;26;0;"";229507
5;19;0;"";173316
164;150;0;"";201378
34;28;0;"";201379
68;61;0;"";229508
78;66;0;"";201380
48;37;0;"";229509
36;17;0;"";149202
143;189;0;"";173318
151;156;0;"";229510
119;124;0;"";229511
11;17;0;"";173320
52;74;0;"";201382
44;31;0;"";201383
152;132;0;"";173321
20;34;0;"";229512
-2;23;0;"";257578
211;224;0;"";257589
87;86;0;"";201391
-4;21;0;"";257590
146;216;0;"";173322
-1;15;0;"";173323
10;18;0;"";229573
243;229;0;"";257591
18;31;0;"";173324
36;27;0;"";201394
-1;25;0;"";257592
42;39;0;"";173325
28;19;0;"";229514
6;16;0;"";173326
35;41;0;"";201395
111;109;0;"";173327
21;15;0;"";173328
16;24;0;"";257593
23;37;0;"";257594
31;24;0;"";229515
58;49;0;"";143542
16;22;0;"";229517
55;70;0;"";173329
46;57;0;"";149206
5;24;0;"";173330
99;99;0;"";229518
362;354;0;"";173332
13;36;0;"";166055
25;17;0;"";166056
34;41;0;"";257597
56;31;0;"";257622
67;60;0;"";229519
17;19;0;"";173334
21;18;0;"";201403
98;93;0;"";172248
97;110;0;"";173335
75;63;0;"";201465
20;19;0;"";229523
51;47;0;"";201406
22;58;0;"";172249
63;57;0;"";173345
16;97;0;"";173346
13;31;0;"";201407
21;16;0;"";201408
48;32;0;"";257602
16;39;0;"";229526
51;25;0;"";257603
176;165;0;"";229527
44;29;0;"";143220
37;22;0;"";229528
11;49;0;"";201410
-3;37;0;"";201411
232;220;0;"";201412
55;55;0;"";173350
42;29;0;"";201413
58;40;0;"";229529
75;63;0;"";201414
36;20;0;"";173351
164;174;0;"";229530
74;65;0;"";173413
-5;22;0;"";173353
28;27;0;"";173354
76;59;0;"";173349
78;66;0;"";173355
18;15;0;"";257606
-8;46;0;"";257607
24;25;0;"";201417
38;17;0;"";257623
1445;1427;0;"";201419
33;17;0;"";201467
84;76;0;"";173356
27;41;0;"";201420
19;32;0;"";257608
46;26;0;"";257609
77;64;0;"";201421
55;48;0;"";201422
30;18;0;"";257611
266;265;0;"";201423
22;20;0;"";229534
35;34;0;"";201424
-6;15;0;"";257612
72;63;0;"";173359
72;65;0;"";257613
15;17;0;"";257614
-12;25;0;"";173360
41;19;0;"";173358
37;18;0;"";143544
19;15;0;"";173362
48;36;0;"";229536
29;27;0;"";201462
25;21;0;"";148931
19;25;0;"";201425
44;32;0;"";173365
59;24;0;"";257618
45;39;0;"";257627
17;16;0;"";201426
26;18;0;"";229540
0;16;0;"";173366
152;213;0;"";257628
54;71;0;"";173367
304;290;0;"";173368
20;45;0;"";257631
51;36;0;"";229541
19;18;0;"";257699
14;76;0;"";201429
11;21;0;"";173369
142;145;0;"";201430
24;43;0;"";173370
95;99;0;"";229542
52;40;0;"";173417
274;276;0;"";257632
18;19;0;"";201431
48;49;0;"";173371
76;46;0;"";201432
125;119;0;"";173372
27;33;0;"";257634
174;172;0;"";173373
4;37;0;"";201460
12;15;0;"";171478
26;24;0;"";257637
62;42;0;"";257700
14;15;0;"";257638
21;21;0;"";257639
68;64;0;"";201434
11;34;0;"";257701
25;18;0;"";201436
0;24;0;"";201437
153;187;0;"";173374
-5;39;0;"";201438
20;20;0;"";201439
42;26;0;"";229545
47;39;0;"";173375
42;25;0;"";201441
62;45;0;"";201442
-11;-23;0;"";229546
38;47;0;"";229547
48;50;0;"";173379
113;103;0;"";229548
94;85;0;"";229549
0;20;0;"";201443
-6;-8;0;"";171479
71;66;0;"";143545
52;44;0;"";257644
31;27;0;"";201449
19;15;0;"";173380
276;292;0;"";144286
69;91;0;"";229553
173;154;0;"";257647
41;41;0;"";146485
18;21;0;"";201451
1;-18;0;"";173381
176;178;0;"";173382
37;23;0;"";160502
84;80;0;"";257649
195;172;0;"";229555
18;17;0;"";201452
-9;28;0;"";201453
384;367;0;"";257651
26;24;0;"";201464
35;27;0;"";173383
93;67;0;"";257703
226;233;0;"";173384
181;165;0;"";257652
-3;32;0;"";201455
35;19;0;"";154805
82;79;0;"";172627
16;15;0;"";257653
306;314;0;"";201457
20;38;0;"";257654
83;59;0;"";201468
11;59;0;"";229560
44;57;0;"";201469
21;17;0;"";173388
68;55;0;"";143222
32;24;0;"";173389
31;21;0;"";201470
145;136;0;"";257636
1;19;0;"";229562
24;19;0;"";201472
-11;26;0;"";171480
-2;62;0;"";173391
-2;36;0;"";229563
19;18;0;"";257658
97;83;0;"";143893
93;77;0;"";229566
8;31;0;"";171475
314;295;0;"";201475
2;87;0;"";257661
175;152;0;"";257662
55;55;0;"";229568
39;17;0;"";201477
10;29;0;"";257663
6;17;0;"";257664
-1;-24;0;"";201546
42;29;0;"";229574
27;17;0;"";229575
32;43;0;"";229576
13;16;0;"";229577
-8;15;0;"";229578
28;16;0;"";173393
15;25;0;"";257667
78;81;0;"";201478
193;197;0;"";201479
22;20;0;"";173394
-5;16;0;"";173395
107;101;0;"";201480
90;95;0;"";229581
35;33;0;"";173396
20;15;0;"";257669
37;30;0;"";201481
107;99;0;"";229582
134;99;0;"";173397
110;100;0;"";173398
73;55;0;"";257671
68;72;0;"";201542
87;88;0;"";201483
